ID,Location,Coordinates,Elevation,Tower_h
KBYX,"Key West, FL",243551 / 0814211,8,20
PAKC,"King Salmon, AK",584046 / 1563746,63,20
KMRX,"Knoxville/Tri-Cities, TN",361007 / 0832406,1337,20
RKJK,"Kunsan AB, Korea",355527 / 1263720E,78,30
KARX,"La Crosse, WI",434922 / 0911128,1276,20
LPLA,"Lajes AB, Azores",384349 / 0271918,3334,20
KLCH,"Lake Charles, LA",300731 / 0931257,13,20
KESX,"Las Vegas, NV",354204 / 1145329,4867,20
KDFX,"Laughlin AFB, TX",291622 / 1001650,1131,10
KILX,"Lincoln, IL",400902 / 0892013,582,30
KLZK,"Little Rock, AR",345011 / 0921544,568,20
KVTX,"Los Angeles, CA",342442 / 1191046,2726,20
KLVX,"Louisville, KY",375831 / 0855638,719,30
KLBB,"Lubbock, TX",333915 / 1014851,3259,20
KMQT,"Marquette, MI",463152 / 0873254,1411,30
KMXX,"Maxwell AFB, AL",323212 / 0854723,400,30
KMAX,"Medford, OR",420452 / 1224302,7513,10
KMLB,"Melbourne, FL",280648 / 0803915,35,20
KNQA,"Memphis, TN",352041 / 0895224,282,20
KAMX,"Miami, FL",253640 / 0802446,14,20
PAIH,"Middleton Island, AK",592741 / 1461811,67,10
KMAF,"Midland/Odessa, TX",315636 / 1021121,2868,10
KMKX,"Milwaukee, WI",425804 / 0883302,958,10
KMPX,"Minneapolis/St. Paul, MN",445056 / 0933356,946,30
KMBX,"Minot AFB, ND",482333 / 1005154,1493,20
KMSX,"Missoula, MT",470228 / 1135910,7855,10
KMOB,"Mobile, AL",304046 / 0881423,208,20
PHMO,"Molokai, HI",210758 / 1571048,1363,20
KVAX,"Moody AFB, GA",302325 / 0830006,173,30
KMHX,"Morehead City, NC",344634 / 0765234,31,30
KOHX,"Nashville, TN",361450 / 0863345,579,20
KLIX,"New Orleans, LA",302012 / 0894932,24,30
KOKX,"New York City, NY",405156 / 0725150,85,30
PAEC,"Nome, AK",643041 / 1651742,54,5
KAKQ,"Norfolk/Richmond, VA",365902 / 0770026,112,20
KLNX,"North Platte, NE",415728 / 1003435,2970,20
KTLX,"Oklahoma City, OK",351959 / 0971640,1213,15
KOAX,"Omaha, NE",411913 / 0962200,1148,30
KPAH,"Paducah, KY",370406 / 0884619,392,30
KPDT,"Pendleton, OR",454126 / 1185110,1515,10
KDIX,"Philadelphia, PA",395649 / 0742439,149,20
KIWA,"Phoenix, AZ",331721 / 1114012,1353,10
KPBZ,"Pittsburgh, PA",403154 / 0801305,1185,20
KSFX,"Pocatello/Idaho Falls, ID",430621 / 1124110,4474,10
KGYX,"Portland, ME",435329 / 0701523,409,10
